<div>Cell phone</div>	手机 -&nbsp;shǒujī (measure word gè/bù)
手机 -&nbsp;shǒujī (measure word gè/bù)	Cell phone
<div>Coffee</div>	咖啡 -&nbsp;kāfēi (measure word bēi)
咖啡 -&nbsp;kāfēi (measure word bēi)	Coffee
<div>Milk</div>	牛奶 -&nbsp;niúnǎi (measure word dài/hé)
牛奶 -&nbsp;niúnǎi (measure word dài/hé)	Milk
<div>Beer</div>	啤酒 -&nbsp;píjiǔ (measure word píng)
啤酒 -&nbsp;píjiǔ (measure word píng)	Beer
<div>Mineral spring water</div>	矿泉水 -&nbsp;kuàngquánshuǐ (measure word píng)
矿泉水 -&nbsp;kuàngquánshuǐ (measure word píng)	Mineral spring water
<div>Cola, coke</div>	可乐 -&nbsp;kělè (measure word píng)
可乐 -&nbsp;kělè (measure word píng)	Cola, coke
<div>Strawberry</div>	草莓 -&nbsp;cǎoméi (measure word jīn/gōngjīn)
草莓 -&nbsp;cǎoméi (measure word jīn/gōngjīn)	Strawberry
<div>Watermelon</div>	西瓜 -&nbsp;xīguā (measure word jīn/gōngjīn)
西瓜 -&nbsp;xīguā (measure word jīn/gōngjīn)	Watermelon
<div>Orange, tangerine</div>	橘子 -&nbsp;júzi (measure word jīn/gōngjīn)
橘子 -&nbsp;júzi (measure word jīn/gōngjīn)	Orange, tangerine
<div>Classroom building</div>	教学楼 -&nbsp;jiàoxuélóu
教学楼 -&nbsp;jiàoxuélóu	Classroom building
<div>Teaching</div>	教学 -&nbsp;jiàoxué
教学 -&nbsp;jiàoxué	Teaching
<div>Storied building</div>	楼 -&nbsp;lóu
楼 -&nbsp;lóu	Storied building
<div>Indicationg where a person or thing is</div>	在 -&nbsp;zài
在 -&nbsp;zài	Indicationg where a person or thing is
<div>Here</div>	这儿 -&nbsp;zhèr
这儿 -&nbsp;zhèr	Here
<div>Library</div>	图书馆 -&nbsp;túshūguǎn
图书馆 -&nbsp;túshūguǎn	Library
<div>Side</div>	边 -&nbsp;biān
边 -&nbsp;biān	Side
<div>North</div>	北边 -&nbsp;běibiān
北边 -&nbsp;běibiān	North
<div>West</div>	西边 -&nbsp;xībiān
西边 -&nbsp;xībiān	West
<div>South</div>	南边 -&nbsp;nánbian
南边 -&nbsp;nánbian	South
<div>Sports field</div>	运动场 -&nbsp;yùndòngchǎng
运动场 -&nbsp;yùndòngchǎng	Sports field
<div>Gym,&nbsp;gymnasium</div>	体育馆 -&nbsp;tǐyùguǎn
体育馆 -&nbsp;tǐyùguǎn	Gym,&nbsp;gymnasium
<div>Restaurant</div>	饭馆 -&nbsp;fànguǎn
饭馆 -&nbsp;fànguǎn	Restaurant
<div>Also, too, as well, in addition</div>	还 -&nbsp;hái
还 -&nbsp;hái	Also, too, as well, in addition
<div>Supermarket</div>	超市 -&nbsp;chāoshì
超市 -&nbsp;chāoshì	Supermarket
<div>Today</div>	今天 -&nbsp;jīntiān
今天 -&nbsp;jīntiān	Today
<div>Month</div>	月 -&nbsp;yuè
月 -&nbsp;yuè	Month
